Trip_Year,Trip_Month,end station name,end station latitude,end station longitude,trip_count
2019,2,1 Ave & E 110 St,40.7923272,-73.9383,8193
2019,2,1 Ave & E 16 St,40.73221853,-73.98165557,8193
2019,2,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,8193
2019,2,1 Ave & E 30 St,40.74144387,-73.97536082,8193
2019,2,1 Ave & E 44 St,40.75001986,-73.96905301,8193
2019,2,1 Ave & E 62 St,40.7612274,-73.96094022,8193
2019,2,1 Ave & E 68 St,40.76500525,-73.95818491,8193
2019,2,1 Ave & E 78 St,40.77140426,-73.9535166,8193
2019,2,1 Ave & E 94 St,40.78172120000001,-73.94594000000002,8193
2019,2,1 Pl & Clinton St,40.6809591,-73.99905709,8193
2019,2,10 Hudson Yards,40.752957,-74.00264,8193
2019,2,10 St & 5 Ave,40.6686273,-73.98700053,8193
2019,2,10 St & 7 Ave,40.6662078,-73.98199886,8193
2019,2,11 Ave & W 27 St,40.751396,-74.00522600000002,8193
2019,2,11 Ave & W 41 St,40.76030096,-73.99884222,8193
2019,2,11 Ave & W 59 St,40.771496710544405,-73.99046033620834,8193
2019,2,11 St & 35 Ave,40.76274420000001,-73.9391141,8193
2019,2,11 St & 43 Ave,40.7519071,-73.94791190000002,8193
2019,2,12 Ave & W 40 St,40.76087502,-74.00277668,8193
2019,2,12 St & 4 Ave,40.668603,-73.99043940000001,8193
2019,2,14 St & 5 Ave,40.666287,-73.98895053,8193
2019,2,14 St & 7 Ave,40.663779,-73.98396846,8193
2019,2,19 St & 24 Ave,40.77745520000001,-73.9225403,8193
2019,2,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,8193
2019,2,2 Ave & 9 St,40.6724811,-73.99331394,8193
2019,2,2 Ave & E 104 St,40.7892105,-73.94370784,8193
2019,2,2 Ave & E 122 St,40.8006721,-73.9349,8193
2019,2,2 Ave & E 31 St,40.74290902,-73.97706058,8193
2019,2,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,8193
2019,2,2 Ave & E 96 St,40.7839636,-73.94716729999998,8193
2019,2,2 Ave & E 99 St,40.7862586,-73.94552579,8193
2019,2,21 St & 31 Dr,40.7659,-73.930819,8193
2019,2,21 St & 36 Ave,40.7601853,-73.9362726,8193
2019,2,21 St & 38 Ave,40.7576314,-73.9391224,8193
2019,2,21 St & 43 Ave,40.75052534,-73.94594845,8193
2019,2,21 St & Hoyt Ave S,40.774645,-73.92370600000002,8193
2019,2,21 St & Queens Plaza North,40.75325964,-73.94335788,8193
2019,2,23 Ave & 27 St,40.776165,-73.9153175,8193
2019,2,24 Ave & 26 St,40.774591,-73.918544,8193
2019,2,24 Ave & 29 St,40.7729,-73.91614200000002,8193
2019,2,24 St & 41 Ave,40.7527085,-73.9397405,8193
2019,2,27 Ave & 4 St,40.7747175,-73.93378940000002,8193
2019,2,27 Ave & 9 St,40.7739825,-73.93091340000002,8193
2019,2,27 St & Hunter St,40.7485,-73.941275,8193
2019,2,28 Ave & 35 St,40.7671,-73.9169858,8193
2019,2,28 Ave & 44 St,40.76408932350689,-73.9106512069702,8193
2019,2,28 St & 36 Ave,40.757186,-73.93271899999998,8193
2019,2,28 St & 38 Ave,40.754876,-73.934326,8193
2019,2,28 St & 41 Ave,40.751047,-73.93796999999998,8193
2019,2,3 Ave & 14 St,40.6685455,-73.99333264,8193
2019,2,3 Ave & E 100 St,40.7877214,-73.94728331,8193
2019,2,3 Ave & E 112 St,40.795508,-73.94160600000002,8193
