Trip_Year,Trip_Month,start station name,start station latitude,start station longitude,trip_count
2020,3,1 Ave & E 110 St,40.7923272,-73.9383,6677
2020,3,1 Ave & E 16 St,40.73221853,-73.98165557,6677
2020,3,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,6677
2020,3,1 Ave & E 30 St,40.74144387,-73.97536082,6677
2020,3,1 Ave & E 44 St,40.75001986,-73.96905301,6677
2020,3,1 Ave & E 5 St,40.725864,-73.986389,6677
2020,3,1 Ave & E 62 St,40.761227399999996,-73.96094022,6677
2020,3,1 Ave & E 68 St,40.76500525,-73.95818491,6677
2020,3,1 Ave & E 78 St,40.77140426,-73.9535166,6677
2020,3,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,6677
2020,3,1 Pl & Clinton St,40.6809591,-73.99905709,6677
2020,3,10 Ave & W 28 St,40.75066386,-74.00176802,6677
2020,3,10 St & 2 Ave,40.671907,-73.993612,6677
2020,3,10 St & 5 Ave,40.6686273,-73.98700053,6677
2020,3,10 St & 7 Ave,40.666207799999995,-73.98199886,6677
2020,3,11 Ave & W 27 St,40.751396,-74.00522600000001,6677
2020,3,11 Ave & W 27 St,40.751999999999995,-74.00399999999999,6677
2020,3,11 Ave & W 41 St,40.76030096,-73.99884222,6677
2020,3,11 Ave & W 59 St,40.77,-73.98899999999999,6677
2020,3,11 Ave & W 59 St,40.771496710544405,-73.99046033620834,6677
2020,3,11 St & 35 Ave,40.76274420000001,-73.9391141,6677
2020,3,11 St & 43 Ave,40.7519071,-73.94791190000001,6677
2020,3,12 Ave & W 125 St,40.818298999999996,-73.96040500000001,6677
2020,3,12 Ave & W 40 St,40.76087502,-74.00277668,6677
2020,3,12 Ave & W 40 St,40.760999999999996,-74.00399999999999,6677
2020,3,12 St & 4 Ave,40.668,-73.98899999999999,6677
2020,3,12 St & 4 Ave,40.668603000000004,-73.99043940000001,6677
2020,3,14 St & 5 Ave,40.666287,-73.98895053,6677
2020,3,14 St & 7 Ave,40.663779,-73.98396846,6677
2020,3,19 St & 24 Ave,40.777455200000006,-73.9225403,6677
2020,3,2 Ave & 36 St,40.65708866668485,-74.00870203971863,6677
2020,3,2 Ave & E 104 St,40.789210499999996,-73.94370784,6677
2020,3,2 Ave & E 122 St,40.8006721,-73.9349,6677
2020,3,2 Ave & E 31 St,40.74290902,-73.97706058,6677
2020,3,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,6677
2020,3,2 Ave & E 96 St,40.7839636,-73.94716729999999,6677
2020,3,2 Ave & E 99 St,40.786258600000004,-73.94552579,6677
2020,3,21 St & 31 Dr,40.7659,-73.930819,6677
2020,3,21 St & 36 Ave,40.760185299999996,-73.9362726,6677
2020,3,21 St & 38 Ave,40.7576314,-73.9391224,6677
2020,3,21 St & 43 Ave,40.75052534,-73.94594845,6677
2020,3,21 St & Hoyt Ave S,40.774645,-73.92370600000001,6677
2020,3,21 St & Queens Plaza North,40.75325964,-73.94335788,6677
2020,3,23 Ave & 27 St,40.776165,-73.9153175,6677
2020,3,24 Ave & 26 St,40.774591,-73.918544,6677
2020,3,24 Ave & 29 St,40.7729,-73.91614200000001,6677
2020,3,24 St & 41 Ave,40.752474,-73.939991,6677
2020,3,27 Ave & 3 St,40.77485,-73.9342,6677
2020,3,27 Ave & 9 St,40.7739825,-73.93091340000001,6677
2020,3,27 St & Hunter St,40.7485,-73.941275,6677
2020,3,28 Ave & 35 St,40.7671,-73.9169858,6677
2020,3,28 Ave & 44 St,40.76408932350689,-73.9106512069702,6677
